"name","counties","archiveyear"
"Wall Fire","Butte","2017"
"Jayne Fire","Fresno","2017"
"Summit Complex","Stanislaus","2017"
"Ruth Complex","Trinity","2017"
"Minerva Fire","Plumas","2017"
"Lilac Fire","San Diego","2017"
"Ponderosa Fire","Butte","2017"
"Palmer Fire","Riverside","2017"
"Young Fire","Siskiyou","2017"
"Hawk Fire","Kern","2017"
"Canyon Fire","Orange","2017"
"Eureka Fire","Plumas","2017"
"I-5 Fire","Kings","2017"
"Indian Fire","Tulare","2017"
"Roadrunner Fire","Tulare","2017"
"Winters Fire","Yolo","2017"
"Sulphur Fire (Mendocino Lake Complex)","Lake","2017"
"Gate Fire","San Diego","2017"
"Adobe Fire (Central LNU Complex)","Sonoma","2017"
"Parkfield Fire","Monterey","2017"
"Parkfield Fire","San Luis Obispo","2017"
"Wright Fire","Merced","2017"
"Creek Fire","Stanislaus","2017"
"37 Fire","Sonoma","2017"
"Park Fire","Fresno","2017"
"Quail Fire","Kern","2017"
"Hill Fire","San Luis Obispo","2017"
"Derrick Fire","Fresno","2017"
"Highway Fire","Kern","2017"
"Holcomb Fire","San Bernardino","2017"
"Oakwood Fire","Madera","2017"
"Garden Fire","Kern","2017"
"Opera Fire","Riverside","2017"
"Caldwell Fire","Kern","2017"
"Latrobe Fire","Sacramento","2017"
"Tarina Fire ","Kern","2017"
"Buffalo Fire","San Diego","2017"
"Hudson Fire","Kern","2017"
"Blaine Fire","Riverside","2017"
"Mission Fire","Madera","2017"
"Chilcoot Fire","Plumas","2017"
"Range Fire","San Diego","2017"
"Berry Fire","Shasta","2017"
"El Dorado Fire","Fresno","2017"
"Grade Fire","Mendocino","2017"
"Beale Fire","Yuba","2017"
"Wildomar Fire","Riverside","2017"
"Poslin Fire","Lassen","2017"
"Grade Fire","Ventura","2017"
"Lobo Fire (Wind Complex)","Nevada","2017"
"Lake Fire","Los Angeles","2017"
"Yankee Fire","San Luis Obispo","2017"
"Placerita Fire","Los Angeles","2017"
"Farad Fire","Sierra","2017"
"Jacksonville Fire","Tuolumne","2017"
"Peak Fire","Mariposa","2017"
"Mart Fire","San Bernardino","2017"
"Ben Fire","Mariposa","2017"
"Battle Fire","Modoc","2017"
"Mias Fire","Riverside","2017"
"W-2 Fire","Lassen","2017"
"Ming Fire","Kern","2017"
"Deluz Fire","San Diego","2017"
"Fay Fire","Siskiyou","2017"
"Red Fire","San Luis Obispo","2017"
"Bridge Fire","San Bernardino","2017"
"Monterey Fire","Fresno","2017"
"Rucker Fire","Santa Barbara","2017"
"Eastman Fire","Madera","2017"
"Table Fire","El Dorado","2017"
"Skirball Fire","Los Angeles","2017"
"Elephant Fire","Tulare","2017"
"Dode Fire","Modoc","2017"
"Jennings Fire","San Diego","2017"
"Sonoma Fire","Fresno","2017"
"Pleasant Fire","Nevada","2017"
"Bear Fire","Santa Cruz","2017"
"West Fire","Modoc","2017"
"Chris Fire","Mono","2017"
"Willow Fire","Contra Costa","2017"
"Creek Fire","Fresno","2017"
"Stone Fire","San Luis Obispo","2017"
"Dinely Fire","Tulare","2017"
"Rose Fire","Kern","2017"
"Bryant Fire","San Bernardino","2017"
"Marble Fire","Del Norte","2017"
